date_and_time,Open,High,Low,Close
2020.07.08 16:00,1.12879,1.13513,1.12871,1.13357
2020.07.08 20:00,1.13357,1.1342,1.13274,1.13293
2020.07.09 00:00,1.13291,1.13464,1.13281,1.13335
2020.07.09 04:00,1.13335,1.13705,1.13274,1.13647
2020.07.09 08:00,1.13647,1.13673,1.13251,1.13291
2020.07.09 12:00,1.13294,1.13484,1.13161,1.13435
2020.07.09 16:00,1.13435,1.13481,1.12852,1.12904
2020.07.09 20:00,1.12904,1.12969,1.128,1.12844
2020.07.10 00:00,1.12817,1.129,1.12708,1.12751
2020.07.10 04:00,1.12751,1.12783,1.12678,1.12708
2020.07.10 08:00,1.12708,1.1291,1.12547,1.12854
2020.07.10 12:00,1.12854,1.13003,1.12733,1.12928
2020.07.10 16:00,1.12929,1.13246,1.12928,1.12996
2020.07.10 20:00,1.12996,1.13057,1.12948,1.12988
2020.07.13 00:00,1.13035,1.13171,1.13024,1.13141
2020.07.13 04:00,1.13141,1.133,1.13139,1.13222
2020.07.13 08:00,1.13222,1.13359,1.13007,1.13085
2020.07.13 12:00,1.13085,1.13382,1.13039,1.13254
2020.07.13 16:00,1.13254,1.13747,1.13251,1.13671
2020.07.13 20:00,1.13671,1.13745,1.1341,1.13423
2020.07.14 00:00,1.13419,1.13501,1.13399,1.13447
2020.07.14 04:00,1.13447,1.13484,1.13351,1.13447
2020.07.14 08:00,1.13445,1.13584,1.13249,1.13506
2020.07.14 12:00,1.13508,1.1381,1.13471,1.13715
2020.07.14 16:00,1.13718,1.14084,1.13611,1.1403
2020.07.14 20:00,1.1403,1.14052,1.13866,1.13996
2020.07.15 00:00,1.14002,1.14229,1.13909,1.14127
2020.07.15 04:00,1.14128,1.14209,1.13938,1.13949
2020.07.15 08:00,1.13949,1.14444,1.13909,1.14368
2020.07.15 12:00,1.14367,1.14473,1.14254,1.14348
2020.07.15 16:00,1.14348,1.14517,1.14013,1.14069
2020.07.15 20:00,1.14067,1.14127,1.14025,1.14113
2020.07.16 00:00,1.1409,1.14184,1.14079,1.14145
